"3DS Status","3DS Status"
"<strong>Authorize & Capture</strong>: charge the card and create invoice automatically after payment approval.<br/><strong>Authorize Only</strong>: hold funds on card, review the order, then capture manually from admin using the ""Capture Payment"" button.","<strong>Authorize & Capture</strong>: charge the card and create invoice automatically after payment approval.<br/><strong>Authorize Only</strong>: hold funds on card, review the order, then capture manually from admin using the ""Capture Payment"" button."
"<strong>Embedded Card Form</strong>: card form renders directly in your checkout page. Customer never leaves your site.<br/><strong>Redirect to Payment Page</strong>: customer is redirected to the Flitt/TBC hosted payment page and returns after payment.","<strong>Embedded Card Form</strong>: card form renders directly in your checkout page. Customer never leaves your site.<br/><strong>Redirect to Payment Page</strong>: customer is redirected to the Flitt/TBC hosted payment page and returns after payment."
"API Connect Timeout (seconds)","API Connect Timeout (seconds)"
"API Read Timeout (seconds)","API Read Timeout (seconds)"
"Accent Color","Accent Color"
"Accept card payments via TBC Bank / Flitt. Supports embedded card form and redirect checkout.","Accept card payments via TBC Bank / Flitt. Supports embedded card form and redirect checkout."
"Add Receiver","Add Receiver"
"Add the Flitt merchants who should receive a portion of each payment.
                        <strong>The remainder always stays with your main Merchant ID.</strong><br/><br/>
                        <strong>Examples:</strong><br/>
                        &bull; Give a partner 10%: add one receiver with Percentage = 10. Your merchant keeps 90%.<br/>
                        &bull; Platform fee of 5 GEL per order: add one receiver (yourself) with Fixed Amount = 5.<br/>
                        &bull; Two vendors, 60/40 split: add two receivers with Percentage = 60 and 40. Your merchant keeps 0%.<br/>
                        &bull; Mixed: a fixed 2 GEL platform fee + vendor gets 100% of the rest: add receiver 1 (platform) Fixed = 2, receiver 2 (vendor) Percentage = 100.","Add the Flitt merchants who should receive a portion of each payment.
                        <strong>The remainder always stays with your main Merchant ID.</strong><br/><br/>
                        <strong>Examples:</strong><br/>
                        &bull; Give a partner 10%: add one receiver with Percentage = 10. Your merchant keeps 90%.<br/>
                        &bull; Platform fee of 5 GEL per order: add one receiver (yourself) with Fixed Amount = 5.<br/>
                        &bull; Two vendors, 60/40 split: add two receivers with Percentage = 60 and 40. Your merchant keeps 0%.<br/>
                        &bull; Mixed: a fixed 2 GEL platform fee + vendor gets 100% of the rest: add receiver 1 (platform) Fixed = 2, receiver 2 (vendor) Percentage = 100."
"Advanced Embed Options (JSON)","Advanced Embed Options (JSON)"
"Allow customers to pay with Apple Pay and Google Pay in the checkout embed.","Allow customers to pay with Apple Pay and Google Pay in the checkout embed."
"Allow re-running when sandbox_mode is already 0 (production)","Allow re-running when sandbox_mode is already 0 (production)"
Amount,Amount
"Amount Type","Amount Type"
"An error occurred processing your payment. Please contact support.","An error occurred processing your payment. Please contact support."
"Another capture is already in progress for this order. Please try again in a moment.","Another capture is already in progress for this order. Please try again in a moment."
"Another process is finalising this payment. Please refresh in a moment.","Another process is finalising this payment. Please refresh in a moment."
"Approval Code","Approval Code"
"Atomically switch TBC (Flitt) payment config from sandbox to production credentials.","Atomically switch TBC (Flitt) payment config from sandbox to production credentials."
"Authorize & Capture (auto-invoice)","Authorize & Capture (auto-invoice)"
"Authorize Only (capture manually from admin)","Authorize Only (capture manually from admin)"
"Auto-Settle After Approval","Auto-Settle After Approval"
"Automatically distribute funds to receivers as soon as the payment is approved.","Automatically distribute funds to receivers as soon as the payment is approved."
"Backlog Alert Threshold","Backlog Alert Threshold"
"Bank declined the payment. Try another card.","Bank declined the payment. Try another card."
"Bank declined.","Bank declined."
"Bank verification failed. Please try again.","Bank verification failed. Please try again."
Black,Black
"Callback Source-IP Allowlist","Callback Source-IP Allowlist"
"Capture Payment","Capture Payment"
"Capture failed. See shubo_tbc_payment.log for details.","Capture failed. See shubo_tbc_payment.log for details."
"Card Type","Card Type"
"Card form layout style.","Card form layout style."
"Check Flitt Status","Check Flitt Status"
"Checkout Layout","Checkout Layout"
"Checkout Theme","Checkout Theme"
"Checkout Theme Preset","Checkout Theme Preset"
"Checkout Type","Checkout Type"
